歌单,歌曲,壁纸引擎ID,壁纸名称,所属作品
『A 觉醒、贯行』渐进学习时长激励歌单,Bill Conti - Gonna Fly Now + Going the Distance + Fanfare for Rocky.mp3,2995611032,David Goggins carrying a log,洛奇
『A 觉醒、贯行』渐进学习时长激励歌单,喵☆酱 - 风与飞鸟.mp3,2818392409,温迪+风与飞鸟bgm,原神
『A 觉醒、贯行』渐进学习时长激励歌单,澤野弘之 - ERENthe標.mp3,2979778343,进击的巨人,进击的巨人
『A 觉醒、贯行』渐进学习时长激励歌单,Hans Zimmer - Stay.mp3,2303814599,【4K】星际穿越,星际穿越
『A 觉醒、贯行』渐进学习时长激励歌单,景山将太 - リュウラセンの塔 + 10番道路 + ENDING~それぞれの未来へ~ + sayonara refrain .mp3,3381312570,"N，雷希拉姆和水天一色的世界（N, Reshiram）",宝可梦黑白
『A 觉醒、贯行』渐进学习时长激励歌单,平松建治 - 目覚め + 交わる剣.mp3,1617340411,Xenoblade Chronicles 2 Siren & Mythra,异度神剑2
『A 觉醒、贯行』渐进学习时长激励歌单,"光田康典,平松建治,Mariam Abounnasr - 成人の儀 + 空へと昇った想い + 届かぬ言葉.mp3",2958791239,异度神剑3mio off-seer,异度神剑3
『A 觉醒、贯行』渐进学习时长激励歌单,岩田恭明 - 厄災ガノン戦・第二形態 + 片岡真央 - 魔獣ガノン戦.mp3,1357071186,Zelda,塞尔达传说旷野之息
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,"工藤ともり,山中裕代,亀岡夏海 - The Great Sea Stirs.mp3",3026508671,Xenoblade Chronicles 3 - Chain Attack,异度神剑3
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,Hans Zimmer - Day One (Interstellar Theme) + Cornfield Chase.mp3,1719301722,星际穿越,星际穿越
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,金﨑猛 - 神よ、その黄昏よ.mp3,3381468578,【火焰纹章·回声超长8分钟剪辑】（Fire Emblem: Echoes - Extended 8-Minute Edit）神よ、その黄昏よ,火焰纹章回声另一个英雄王
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,"MoppySound,てろ,神庭Neon - 凪 + 悠遠の彼方へ + 追憶の海.mp3",3209918050,神之天平anulis,神之天平
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,"光田康典,清田愛未,Mariam Abounnasr - The Weight of Life.mp3",3026508671,Xenoblade Chronicles 3 - Chain Attack,异度神剑3
『AA 英雄之旅、怒斥』渐进学习时长激励歌单,"片岡真央,山下康介 - メインテーマ + Nintendo Switch Presentation 2017 Trailer BGM.mp3",2408804875,Zelda Hyrule Field,塞尔达传说旷野之息
『AAA 全力以赴、神迹』渐进学习时长激励歌单,Hans Zimmer - Tick-Tock.mp3,2863174578,星际穿越  Interstellar,星际穿越
『AAA 全力以赴、神迹』渐进学习时长激励歌单,"光田康典,Mariam Abounnasr - 決別 + 君との未来 + White All Around Us.mp3",2223063954,Pneuma - Xenoblade Chronicles 2,异度神剑2
『AAA 全力以赴、神迹』渐进学习时长激励歌单,"宮崎慎二,林明日香 - アリスの草笛 + オラシオン + オラシオンのテーマ ～共に歩こう～.mp3.mp3",1429483435,Pokemon Sunset,宝可梦剧场版10决战时空之塔
『AAA 全力以赴、神迹』渐进学习时长激励歌单,"黄龄,HOYO_MiX - TruE  + TruE (Ed Ver.) + Elysian Realm.mp3",3013647681,爱莉,崩坏三
『B 意志、我的回合』渐进学习时长激励歌单,"飯吉新,坂本英城 - 決戦!ディアルガ!.mp3",1626009310,Dialga's Pillar - Pokemon,宝可梦不可思议迷宫空之探索队
『B 意志、我的回合』渐进学习时长激励歌单,西木康智 - 剣士ヒカリのテーマ.mp3,2938622616,OCTOPATH TRAVELER II,八方旅人2
『B 意志、我的回合』渐进学习时长激励歌单,平松建治 - 絶望と希望…そして.mp3,1575904717,Xenoblade Chronicles 2,异度神剑2
『B 意志、我的回合』渐进学习时长激励歌单,Toby Fox - 戦闘! ゼロラボ.mp3,2649373636,宝可梦 水君 金/银/水晶-Pokémon Suicune Gold and Silver Crystal（试作218）,宝可梦朱紫
『B 意志、我的回合』渐进学习时长激励歌单,"足立美奈子,増田順一 - 戦闘! ジムリーダー～ジムリーダーに勝利!.mp3",2896744264,Pokemon-Iono/奇树,宝可梦朱紫
『B 意志、我的回合』渐进学习时长激励歌单,西木康智 - 決戦1.mp3,1725500032,Octopath Traveler,八方旅人2
『B 意志、我的回合』渐进学习时长激励歌单,"増田順一,一之瀬剛 - 决戦!N.mp3",2266670718,zekrom vs reshiram,宝可梦黑白
『B 意志、我的回合』渐进学习时长激励歌单,"黒田英明,増田順一 - 戦闘! バトルツリーボス.mp3",2401343936,Pokemon Emerald,宝可梦日月
『B 意志、我的回合』渐进学习时长激励歌单,宮崎誠 - A Theme of ONE PUNCH MAN~正義執行~.mp3,1751714574,Saitama / One Punch Man,一拳超人
『B 意志、我的回合』渐进学习时长激励歌单,西木康智 - きぼうの唄.mp3,2950037328,Octopath Traveler II 🎵 MOTHER`S SONG [4K 60FPS],八方旅人2
『B 意志、我的回合』渐进学习时长激励歌单,足立美奈子 - 戦闘! 四天王.mp3,2064820043,Mega Blaziken - Pokemon,宝可梦剑盾
『B 意志、我的回合』渐进学习时长激励歌单,岩田恭明 - 最終試練.mp3,2470025728,The Legend of Zelda,塞尔达传说旷野之息
『B 意志、我的回合』渐进学习时长激励歌单,"工藤ともり,山中裕代,吉村　隆行 - Kaleidoscopic Core.mp3",2982817316,Xenoblade Chronicles 3 - Melia and Nia,异度神剑3
『B 意志、我的回合』渐进学习时长激励歌单,足立美奈子 - 決戦! マリィ.mp3,2335138845,玛俐和小优,宝可梦剑盾
『B 意志、我的回合』渐进学习时长激励歌单,"佐藤仁美,景山将太 - シロナのテーマ+ 戦闘!シロナ.mp3",2930638202,Japanese Style Cynthia Main Battle Theme,宝可梦珍珠钻石
『B 意志、我的回合』渐进学习时长激励歌单,平松建治 - Counterattack.mp3,2023456971,异度之刃2 xenoblade2 fu2,异度神剑2
『B 意志、我的回合』渐进学习时长激励歌单,澤野弘之 - Unicorn.mp3,1998006409,独角兽高达UNICORN,机动战士高达独角兽
『BB 长途跋涉、星辰』渐进学习时长激励歌单,平松建治 - アルフェト渓谷.mp3,3125453022,Xenoblade 3 Concept Art,异度神剑3
『BB 长途跋涉、星辰』渐进学习时长激励歌单,宮崎慎二 - 氷空の花束 (そらのはなたば).mp3,2760347274,Pokemon - Dawn & Piplup (Anime),宝可梦剧场版11冰空的花束
『BB 长途跋涉、星辰』渐进学习时长激励歌单,"足立美奈子,増田順一 - スタッフロール.mp3",2057769616,日月,宝可梦日月
『BB 长途跋涉、星辰』渐进学习时长激励歌单,澤野弘之 - 46-：ri9.flac,3472814942,46-:ri9 (Sylvalum | 白樹の大陸) Cinematic Fan Film - Xenoblade Chronicles X；46-：ri9（白树大陆）粉丝电影—异度神剑X,异度神剑X
『BB 长途跋涉、星辰』渐进学习时长激励歌单,西木康智 - 悠久の遺跡.mp3,2978792479,Octopath Traveler 2 - Campfire Animated,八方旅人2
『BB 长途跋涉、星辰』渐进学习时长激励歌单,"Toby Fox,一之瀬剛 - エリアゼロ.mp3",3279412700,Area Zero,宝可梦朱紫
『BB 长途跋涉、星辰』渐进学习时长激励歌单,光田康典 - ユグドラシル.mp3,2531153597,Xenoblade Chronicles 2 -World Tree-,异度神剑2
『BB 长途跋涉、星辰』渐进学习时长激励歌单,"工藤ともり,山中裕代 - リベラリタス島嶼群.flac",2863595701,星海,异度神剑2
『BB 长途跋涉、星辰』渐进学习时长激励歌单,"清田愛未,光田康典 - シティー.mp3",2786887661,妮娅（异度之刃2/异度神剑2）,异度神剑3
『BB 长途跋涉、星辰』渐进学习时长激励歌单,"工藤ともり,山中裕代,亀岡夏海 - アグヌス軍コロニー.mp3",2855149024,Xenoblade Chronicles 3 Cascadas,异度神剑3
『BB 长途跋涉、星辰』渐进学习时长激励歌单,"足立美奈子,増田順一,佐藤仁美 - マハロ山道 + しまキング・しまクイーンのテーマ + 祭壇へ….mp3",1533274066,Sinnoh Eterna forest (pokemon),宝可梦日月
『BB 长途跋涉、星辰』渐进学习时长激励歌单,西木康智 - エンディングテーマ.mp3,2932087196,Octopath Traveler 2 Night,八方旅人2
『BB 长途跋涉、星辰』渐进学习时长激励歌单,Evan Call - Journey of a Lifetime ~ Frieren Main Theme.mp3,3158890056,芙莉莲 frieren,葬送的芙莉莲
『BBB 悲壮、地狱』渐进学习时长激励歌单,"Hans Zimmer,Lorne Balfe - The Enemy of My Enemy is My Friend.mp3",1730449502,Modern Warfare 2,使命召唤6现代战争2
『BBB 悲壮、地狱』渐进学习时长激励歌单,Mariam Abounnasr - シンの力.mp3,1666715582,异度之刃2 光,异度神剑2
『BBB 悲壮、地狱』渐进学习时长激励歌单,"光田康典,Mariam Abounnasr - 意志.mp3",1648575087,异度神剑2 光,异度神剑2
『BBB 悲壮、地狱』渐进学习时长激励歌单,Hans Zimmer - Supermarine.mp3,2020766100,敦刻尔克 Dunkirk,敦刻尔克
『BBB 悲壮、地狱』渐进学习时长激励歌单,"澤野弘之,Cyua - Vogel im Kafig.mp3",1644971590,Call of Silence - Attack On Titan OST,进击的巨人
『BBB 悲壮、地狱』渐进学习时长激励歌单,光田康典 - 憧れの光 ～受け継がれる調べ.mp3,2871104783,Xenoblade 3,异度神剑3
『BBB 悲壮、地狱』渐进学习时长激励歌单,"光田康典,Mariam Abounnasr - ノアとエヌ.mp3",2840701807,[4k][Xenoblade3]mio(异度之刃3 弥央),异度神剑3
『BBB 悲壮、地狱』渐进学习时长激励歌单,岩田恭明 - 神獣 ヴァ・メドー (探索).mp3,3315455019,[The Legend of Zelda] Link,塞尔达传说旷野之息
『BBB 悲壮、地狱』渐进学习时长激励歌单,"澤野弘之,R!NGemie - YouSeeBIGGIRLTT.mp3",2979778343,进击的巨人,进击的巨人
『C 理想、进取』渐进学习时长激励歌单,Rameses B - Moonlight.mp3,3104018974,"Univers X Fluxxwave (The best you ever had) - Full HD, 4k",
『C 理想、进取』渐进学习时长激励歌单,Linked Horizon - 紅蓮の弓矢.mp3,1432195329,进击的巨人,进击的巨人
『C 理想、进取』渐进学习时长激励歌单,Linked Horizon - 心臓を捧げよ！.mp3,1434064997,进击的巨人,进击的巨人
『C 理想、进取』渐进学习时长激励歌单,Linked Horizon - 自由の翼.mp3,1756054362,进击的巨人,进击的巨人
『C 理想、进取』渐进学习时长激励歌单,"澤野弘之,Laco - Zero Eclipse.mp3",2021675016,进击的巨人,进击的巨人
『C 理想、进取』渐进学习时长激励歌单,"澤野弘之,R!NGemie,mpi - Barricades.mp3",1432195329,进击的巨人,进击的巨人
『C 理想、进取』渐进学习时长激励歌单,"澤野弘之,小林未郁 - at'aek ON taitn.mp3",2021675016,进击的巨人,进击的巨人
『C 理想、进取』渐进学习时长激励歌单,一之瀬剛 - タイトル.mp3,3023261104,宝可梦zekrom 作者dysaoooozhu3222,宝可梦黑白
『C 理想、进取』渐进学习时长激励歌单,Howie Lee - Martial Mastery.mp3,2778716883,SIFU Wallpaper 1920x1080,SIFU
『C 理想、进取』渐进学习时长激励歌单,Ivan Torrent - The Power of Will.mp3,2681380241,Subscenes system | Script,
『C 理想、进取』渐进学习时长激励歌单,Steven Price - Design Our Own Future.mp3,2661270342,Aurora of Dreams [4K],
『C 理想、进取』渐进学习时长激励歌单,José González - Stay Alive.mp3,2320695462,The Secret Life of Walter Mitty,白日梦想家
『C 理想、进取』渐进学习时长激励歌单,宮崎誠 - sorrow.mp3,1864456801,One punch man (did I ... Lose?),女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,澤野弘之 - THEMEX.flac,1983757719,Xenoblade Chronicles X [4K 60FPS],异度神剑X
『C 理想、进取』渐进学习时长激励歌单,足立美奈子 - ソニアのテーマ.mp3,2269858500,Acacia [Pokemon Gotcha!]  8-bit,宝可梦剑盾
『C 理想、进取』渐进学习时长激励歌单,纳塔主题曲 - 炽烈的还魂诗.mp3,3287612290,Mavuika & Capitano | Genshin Impact [4K],原神
『C 理想、进取』渐进学习时长激励歌单,Theodore Shapiro - Quintessence.mp3,2320695462,The Secret Life of Walter Mitty,白日梦想家
『C 理想、进取』渐进学习时长激励歌单,Lyn - Colors Flying High -opening movie version-.mp3,2888044593,P5R OP 1080P,女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,Lyn - I believe.mp3,1375619599,"Persona 5 ""Animated""",女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,Lyn - Life Will Change.mp3,2022733184,Persona 5 Royal - JP Themes,女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,Lyn - Rivers In the Desert.mp3,2414368864,女神异闻录5persona5佐仓双叶仿psn动态壁纸,女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,Lyn - Take Over.mp3,2022733184,Persona 5 Royal - JP Themes,女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,"Lyn - Wake Up, Get Up, Get Out There.mp3",2414368864,女神异闻录5persona5佐仓双叶仿psn动态壁纸,女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,目黒将司 - Gentle Madman.mp3,2831571764,Persona 5 Royal Ending,女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,目黒将司 - Will Power.mp3,1375619599,"Persona 5 ""Animated""",女神异闻录5皇家版
『C 理想、进取』渐进学习时长激励歌单,平松建治 - Keves Battle.mp3,2965286236,Xenoblade Chronicles 3 Campfire [4K],异度神剑3
『C 理想、进取』渐进学习时长激励歌单,Daler Mehndi - Dangal.mp3,927532469,Dangal“摔跤吧爸爸”开场曲 工作醒脑专用！,摔跤吧爸爸
『C 理想、进取』渐进学习时长激励歌单,BUMP OF CHICKEN - アカシア.mp3,2245589623,宝可梦特别音乐MV「GOTCHA！」,宝可梦特别MV「GOTCHA！」
『CC 梦想、梦境』渐进学习时长激励歌单,"光田康典 - Elysium, in the Blue Sky.mp3",3472746104,"异度神剑2 Elysium, in the Blue Sky.",异度神剑2
『CC 梦想、梦境』渐进学习时长激励歌单,Alan Silvestri - Forrest Gump Suite.mp3,1144309121,星空,阿甘正传
『CC 梦想、梦境』渐进学习时长激励歌单,景山将太 - Nの城メドレー.mp3,2844700576,Reshiram - Pokemon,宝可梦黑白
『CC 梦想、梦境』渐进学习时长激励歌单,"西木康智 - Ku, Land of the Scarlet Sunset.mp3",3017579888,"Octopath Traveler II - Hikari, the Warrior (sound)",八方旅人2
『CC 梦想、梦境』渐进学习时长激励歌单,一之瀬剛 - みずうみ.mp3,2751606243,"Pokemon Dawn, Barry and Lucas with Combees",宝可梦珍珠钻石
『CC 梦想、梦境』渐进学习时长激励歌单,西木康智 - OCTOPATH TRAVELER II メインテーマ.mp3,3166150145,八方旅人2(歧路旅人2)标题动画，点击昼夜切换。Octopath Traveler II Title Screen Interactive Day/Night Switch .,八方旅人2
『CC 梦想、梦境』渐进学习时长激励歌单,西木康智 - 幽玄なる森.mp3,3145520666,Octopath Traveller 2 - Hikari Desert,八方旅人2
『CC 梦想、梦境』渐进学习时长激励歌单,足立美奈子 - しまキング・しまクイーンのテーマ.mp3,2858557054,精灵宝可梦 莉莉艾,宝可梦日月
『CC 梦想、梦境』渐进学习时长激励歌单,清田愛未 - 古代船.mp3,2154313820,Xenoblade Chronicles 2 - The Aegis,异度神剑2
『CC 梦想、梦境』渐进学习时长激励歌单,宮崎慎二 - ハクタイのもり.mp3,2102703833,Pokemon DP   Route 216/宝可梦DP 216号道路,宝可梦dp（珍珠钻石）
『CC 梦想、梦境』渐进学习时长激励歌单,Various Artists - From ''The Power Of One'' Score The Legend Comes To Life.mp3,1782383238,"Lugia, The Power of One - Pokemon",宝可梦剧场版2洛奇亚爆诞
『CC 梦想、梦境』渐进学习时长激励歌单,足立美奈子 - リリィタウン(夜).mp3,2820987405,小光和波加曼,宝可梦日月
『CC 梦想、梦境』渐进学习时长激励歌单,足立美奈子 - 海の民の村(夜).mp3,2858557054,精灵宝可梦 莉莉艾,宝可梦日月
『CC 梦想、梦境』渐进学习时长激励歌单,"工藤ともり,山中裕代 - エルティア海夜.mp3",2650207074,宝可梦 洛奇亚 金/银/水晶-Pokémon Lugia Gold and Silver Crystal（试作219）,异度神剑3
『CC 梦想、梦境』渐进学习时长激励歌单,一之瀬剛 - Lullaby　for　Trains.mp3,2898172283,Red Cold Season,宝可梦黑白
『CC 梦想、梦境』渐进学习时长激励歌单,一之瀬剛 - まどろみの森.mp3,2485965359,寂静星空下 基拉祈 宝可梦-Silent under the stars Jirachi Pokemon（试作157）,宝可梦剑盾
『CC 梦想、梦境』渐进学习时长激励歌单,岩田恭明 - カッシーワ “英傑ミファー、ダルケル、リーバル、ウルボザの詩”.mp3,1443679129,Zelda BotW Champions,塞尔达传说旷野之息
『CC 梦想、梦境』渐进学习时长激励歌单,岩田恭明 - カッシーワの古の詩+テーマ (勇者の詩ver.)+“英傑たちの詩” (第四段階).mp3,1339064732,The Legend of Zelda (Ambient music),塞尔达传说旷野之息
『CC 梦想、梦境』渐进学习时长激励歌单,宮崎慎二 - 惑星(ほし)の鼓動.mp3,2650207074,宝可梦 洛奇亚 金/银/水晶-Pokémon Lugia Gold and Silver Crystal（试作219）,宝可梦剧场版2洛奇亚爆诞
『CC 梦想、梦境』渐进学习时长激励歌单,Andrea Guerra - Opening + Welcome Chris.mp3,1746736015,Anime+动态,当幸福来敲门
『CC 梦想、梦境』渐进学习时长激励歌单,"Ludvig Forssell,Jenny Plant - BB's Theme.mp3",1842145483,Death Stranding,死亡搁浅
『CC 梦想、梦境』渐进学习时长激励歌单,平松建治 - インヴィディア烈王国.mp3,1589564528,Xenoblade Chronicles 2 Uraya,异度神剑2
『CCC 感伤、坚毅』渐进学习时长激励歌单,宮崎誠 - Theme of ONE PUNCH MAN~Ballad Ver.~.mp3,1159098154,One Punch Man - Saitama,一拳超人
『CCC 感伤、坚毅』渐进学习时长激励歌单,"片岡真央,若井淑,岩田恭明 - スタッフロール.mp3",2589286135,Link and Zelda Campfire,塞尔达传说旷野之息
『CCC 感伤、坚毅』渐进学习时长激励歌单,河野マリナ - Weight of the World壊レタ世界ノ歌.mp3,2123334513,尼尔,尼尔机械纪元
『CCC 感伤、坚毅』渐进学习时长激励歌单,光田康典 - 夢の中の楽園.mp3,2919375889,Mythra - Xenoblade Chronicles 2,异度神剑2
『CCC 感伤、坚毅』渐进学习时长激励歌单,西木康智 - 朱き晩陽のク国.mp3,3017579888,"Octopath Traveler II - Hikari, the Warrior (sound)",八方旅人2
『CCC 感伤、坚毅』渐进学习时长激励歌单,"澤野弘之,R!NGemie - Call of Silence.mp3",1551969928,进击的巨人,进击的巨人
『CCC 感伤、坚毅』渐进学习时长激励歌单,Hans Zimmer - Tennessee.mp3,2562148920,黄昏海,珍珠港
『CCC 感伤、坚毅』渐进学习时长激励歌单,金﨑猛 - タイトルループ.mp3,1614756155,Fire Emblem Echoes Intro 1280x720,火焰纹章回声另一个英雄王
『CCC 感伤、坚毅』渐进学习时长激励歌单,光田康典 - おくられる命.mp3,2850348162,Xenoblade 3 Mio and Noah,异度神剑3
『CCC 感伤、坚毅』渐进学习时长激励歌单,大賀智章 - またいつか・・・.mp3,837761056,Ori DE Silent,宝可梦XY
『CCC 感伤、坚毅』渐进学习时长激励歌单,景山将太 - エイセツシティ.mp3,2468645201,Pokémon-Xerneas,宝可梦XY
『CCC 感伤、坚毅』渐进学习时长激励歌单,林明日香 - 小さきもの.mp3,2485965359,寂静星空下 基拉祈 宝可梦-Silent under the stars Jirachi Pokemon（试作157）,宝可梦剧场版6七夜的许愿星
『CCC 感伤、坚毅』渐进学习时长激励歌单,足立美奈子 - リーリエのテーマ.mp3,1584395462,莉莉艾,宝可梦日月
『CCC 感伤、坚毅』渐进学习时长激励歌单,光田康典 - 夢の岸辺に アナザー・ワールド.mp3,1619250827,Chrono Trigger,时空之轮2
『CCC 感伤、坚毅』渐进学习时长激励歌单,Ludwig Göransson - Destroyer Of Worlds + Can You Hear The Music + Oppenheimer.mp3,3148478618,Oppenheimer,奥本海默
『CCC 感伤、坚毅』渐进学习时长激励歌单,宇多田ヒカル - 桜流し.mp3,2858446020,[2K]EVA/新世纪福音战士,EVA
『CCC 感伤、坚毅』渐进学习时长激励歌单,澤野弘之 - 進撃vc-pf20130218巨人.mp3,1551969928,进击的巨人,进击的巨人
『CCC 感伤、坚毅』渐进学习时长激励歌单,Lyn - 僕らの光.mp3,3101860075,P5 女神异闻录5 Persona 5,女神异闻录5皇家版
『CCC 感伤、坚毅』渐进学习时长激励歌单,市川淳 - ヨスガノソラ メインテーマ -遠い空へ-.mp3,1799941665,穹妹,缘之空
『S 宝可梦爆燃OP』渐进学习时长激励歌单,松本梨香 - OK!.mp3,2805019499,宝可梦（pokemon）极巨化,宝可梦无印
『S 宝可梦爆燃OP』渐进学习时长激励歌单,松本梨香 - スパート!.mp3,2952891094,宝可梦 小智、伙伴们 再会-Pokemon Ash Ketchumand、Partners Goodbye(试作311),宝可梦超世代
『S 宝可梦爆燃OP』渐进学习时长激励歌单,松本梨香 - ライバル!.mp3,2791663605,成为宝可梦大师,宝可梦无印
『SS 友情啊羁绊啊』渐进学习时长激励歌单,豊口めぐみ - It'll be fine!.mp3,2820979239,It will be fine TV动画「宝可梦 钻石＆珍珠」ED特别组曲MV「It'll be fine!」小光和波加曼,宝可梦dp
『SS 友情啊羁绊啊』渐进学习时长激励歌单,"奥井亜紀,江崎とし子,あきよしふみえ - 七色アーチ.mp3",1746293210,Pokemon - All Together,宝可梦bw
『SSS 目标是宝可梦大师！』渐进学习时长激励歌单,松本梨香 - 目标是宝可梦大师（录音室谢幕职业生涯）.mp3,3381429341,"致敬小智六大王牌！宝可梦战斗高燃混剪(Ash, Pokemon)",宝可梦特别MV小智CV谢幕
『SSS 目标是宝可梦大师！』渐进学习时长激励歌单,松本梨香 - めざせポケモンマスター -20th Anniversary Ballad ver.-.mp3,2604745985,Pikachu cries over Ash's death,宝可梦剧场版20就决定是你了！
『未分类』渐进学习时长激励歌单,Cyua - A Letter.mp3,无,,
『未分类』渐进学习时长激励歌单,宮崎誠 - The cyborg fights.mp3,无,,
『未分类』渐进学习时长激励歌单,宮崎誠 - Theme of ONE PUNCH MAN~sadness~.mp3,无,,
『未分类』渐进学习时长激励歌单,景山将太 - サヨナラ.mp3,无,,
『未分类』渐进学习时长激励歌单,景山将太 - 戦闘! 四天王.mp3,无,,
『未分类』渐进学习时长激励歌单,平松建治 - アルフェト渓谷夜.mp3,无,,
『未分类』渐进学习时长激励歌单,平松建治 - インヴィディア烈王国.mp3,无,,
『未分类』渐进学习时长激励歌单,西木康智 - 決戦2.mp3,无,,
『未分类』渐进学习时长激励歌单,岩田恭明 - 再会 ミファー.mp3,无,,
『未分类』渐进学习时长激励歌单,岩田恭明 - 再会 リーバル.mp3,无,,
『未分类』渐进学习时长激励歌单,増田順一 - 戦闘!チャンピオン.mp3,无,,
『未分类』渐进学习时长激励歌单,"増田順一,足立美奈子 - ジム受付.mp3",无,,
『未分类』渐进学习时长激励歌单,足立美奈子 - ポータウン.mp3,无,,
『未分类』渐进学习时长激励歌单,佐藤仁美 - シロナのテーマ.mp3,无,,
『未分类』渐进学习时长激励歌单,Alan Silvestri - The Avengers.mp3,无,,
『未分类』渐进学习时长激励歌单,Epic Score - Freedom Is Ours (No Vocals).mp3,无,,
『未分类』渐进学习时长激励歌单,Jannik - Pilgrimage.mp3,无,,
『未分类』渐进学习时长激励歌单,sayakayala - Gen8-SWSH-[正式]VS道馆馆主(游戏内动态战况版).mp3,无,,
『未分类』渐进学习时长激励歌单,"Toby Fox,一之瀬剛 - 戦闘! ■■■■.mp3",无,,
『未分类』渐进学习时长激励歌单,川井憲次 - 謡 I - Making of Cyborg (2.0 Ver.).mp3,无,,
『遗弃』渐进学习时长激励歌单,Cyua - A Letter.mp3,无,,
『遗弃』渐进学习时长激励歌单,宮崎誠 - The cyborg fights.mp3,无,,
『遗弃』渐进学习时长激励歌单,宮崎誠 - Theme of ONE PUNCH MAN~sadness~.mp3,无,,
『遗弃』渐进学习时长激励歌单,景山将太 - サヨナラ.mp3,无,,
『遗弃』渐进学习时长激励歌单,景山将太 - 戦闘! 四天王.mp3,无,,
『遗弃』渐进学习时长激励歌单,平松建治 - アルフェト渓谷夜.mp3,无,,
『遗弃』渐进学习时长激励歌单,西木康智 - 決戦2.mp3,无,,
『遗弃』渐进学习时长激励歌单,岩田恭明 - 再会 ミファー.mp3,无,,
『遗弃』渐进学习时长激励歌单,岩田恭明 - 再会 リーバル.mp3,无,,
『遗弃』渐进学习时长激励歌单,増田順一 - 戦闘!チャンピオン.mp3,无,,
『遗弃』渐进学习时长激励歌单,"増田順一,足立美奈子 - ジム受付.mp3",无,,
『遗弃』渐进学习时长激励歌单,足立美奈子 - ポータウン.mp3,无,,
『遗弃』渐进学习时长激励歌单,佐藤仁美 - シロナのテーマ.mp3,无,,
『遗弃』渐进学习时长激励歌单,Alan Silvestri - The Avengers.mp3,无,,
『遗弃』渐进学习时长激励歌单,Epic Score - Freedom Is Ours (No Vocals).mp3,无,,
『遗弃』渐进学习时长激励歌单,Jannik - Pilgrimage.mp3,无,,
『遗弃』渐进学习时长激励歌单,sayakayala - Gen8-SWSH-[正式]VS道馆馆主(游戏内动态战况版).mp3,无,,
『遗弃』渐进学习时长激励歌单,"Toby Fox,一之瀬剛 - 戦闘! ■■■■.mp3",无,,
『遗弃』渐进学习时长激励歌单,川井憲次 - 謡 I - Making of Cyborg (2.0 Ver.).mp3,无,,
